Gene	Name	Chr	Strand	Start	End	HNT_8A8G_Rep1	HNT_8A8G_Rep2	HBG1_8A8G_Rep1	HBG1_8A8G_Rep2	HBG1_WT
BYSL	BYSL	6	+	41921227	41933046	128.734787	150.262299	131.872055	128.822052	156.566254
FAM230H	FAM230H	22	-	21301260	21326636	0.000000	0.000000	0.000000	0.000000	0.000000
SIK1B	SIK1B	21	+	6111073	6123778	2.167852	0.594346	0.745897	1.403737	0.645052
RASGEF1C	RASGEF1C	5	-	180100795	180209211	4.078988	13.343473	3.315742	3.055200	5.027171
PRLHR	PRLHR	10	-	118593404	118595648	0.0	0.0	1.174642	0.000000	0.0
COL27A1	COL27A1	9	+	114155537	114312511	23.081829	29.443859	18.969511	20.885336	20.379894
PHLDB1	PHLDB1	11	+	118606498	118658038	6.411005	4.791214	8.143028	11.221111	7.595568
BAZ2B	BAZ2B	2	-	159693196	159712435	0.533898	1.138130	0.0	0.184698	0.353194
ZBTB18	ZBTB18	1	+	244048939	244057478	8.843215	6.122399	17.572044	10.517740	8.347589
DEF6	DEF6	6	+	35297818	35321771	5.488006	5.273241	5.147516	3.884263	3.572518
CHRNE	CHRNE	17	-	4897771	4903098	2.214182	0.342293	1.068851	0.434340	0.000000
FAM27E2	FAM27E2	9	+	41647674	41649440	0.838368	0.439038	1.123254	1.511933	0.833382
CNTF	CNTF	11	+	58622665	58625732	0.000000	0.000000	0.793898	0.000000	0.000000
RRP7A	RRP7A	22	-	42508335	42519823	127.861328	167.133301	120.123367	145.474731	147.889435
OCLN	OCLN	5	+	69492292	69558104	8.106038	4.929048	10.479762	9.647755	7.732432
B4GALT3	B4GALT3	1	-	161171310	161177968	74.354446	70.162148	72.947418	82.460068	61.997688
LINC02056	LINC02056	5	-	72574075	72660669	0.0	0.000000	0.0	0.0	0.0
SNORD116-23	SNORD116-23	15	+	25091785	25091878	0.000000	0.000000	0.000000	0.000000	0.000000
OR4K5	OR4K5	14	+	19920607	19921578	0.0	0.0	0.0	0.0	0.0
RTL8A	RTL8A	X	-	135050933	135052191	372.731384	601.351990	416.656189	322.826904	494.920654
DENND2C	DENND2C	1	-	114584575	114670111	4.425640	3.258290	5.888663	7.584522	4.303646
NCSTN	NCSTN	1	+	160343273	160358952	72.071457	67.720116	84.391266	85.742378	74.489182
GNA14-AS1	GNA14-AS1	9	+	77447649	77526762	0.000000	0.000000	0.000000	0.000000	0.000000
RAB44	RAB44	6	+	36697851	36733183	0.000000	0.000000	0.000000	0.000000	0.0
NRXN2	NRXN2	11	-	64606174	64723188	6.056401	4.286851	3.257928	6.175006	2.945399
ANTXR2	ANTXR2	4	-	79901617	80073472	1.339434	0.596651	2.153574	1.436868	0.640439
KRTAP9-4	KRTAP9-4	17	+	41249687	41250653	0.0	0.0	0.0	0.0	0.0
MIR6859-2	MIR6859-2	15	+	101973524	101973591	1.286349	3.296339	0.763497	0.813899	0.091854
TMEM115	TMEM115	3	-	50354749	50359508	71.139473	133.126511	69.058060	60.812229	98.766891
PTPRO	PTPRO	12	+	15322257	15598331	0.215288	0.820977	0.413335	1.456787	1.435980
DUX4	DUX4	10	+	133756558	133768430	0.059293	0.0	0.000000	0.0	0.000000
ARMCX2	ARMCX2	X	-	101655281	101659891	0.218013	2.093311	1.722762	0.764605	0.227036
LOC100506023	LOC100506023	1	-	173235060	173477155	0.233030	0.000000	0.247824	0.296646	0.102927
SP110	SP110	2	-	230168926	230225729	0.000000	3.805919	0.000000	0.000000	0.218513
CLEC4E	CLEC4E	12	-	8533305	8540962	0.0	0.0	0.0	0.0	0.0
NPAS3	NPAS3	14	+	32939253	33804176	0.216528	0.713142	0.192384	0.406621	0.494584
LOC440434	LOC440434	17	+	36274197	36320687	2.486197	1.112792	3.531490	5.764014	1.312129
LINC01278	LINC01278	X	-	63426558	63561095	78.029968	116.474617	88.129585	102.125328	124.490746
SNORD165	SNORD165	7	-	4837388	4837450	1.689338	0.000000	3.019610	1.097989	0.000000
FUNDC2P2	FUNDC2P2	2	+	84290682	84292200	0.670923	0.091903	0.166148	0.572171	0.583906
DGKZ	DGKZ	11	+	46332905	46380554	65.095093	82.224106	60.402672	73.656097	70.953682
TRIM44	TRIM44	11	+	35662752	35811053	50.494633	59.432796	49.179356	55.242714	47.500488
ISOC2	ISOC2	19	-	55452979	55461682	43.365063	43.880302	24.120182	33.590847	24.256187
PKD1P1	PKD1P1	16	+	16317609	16350608	14.271784	12.603028	14.316885	15.222340	14.505786
LINC00260	LINC00260	1	+	203730577	203731851	5.829630	4.808203	5.421090	3.580736	4.409278
SNORA90	SNORA90	17	+	37244801	37244975	0.000000	0.000000	0.000000	0.000000	0.000000
NOL4	NOL4	18	-	33851100	34223551	1.900137	0.494627	2.973313	1.258606	2.020541
KCTD17	KCTD17	22	+	37051736	37063390	34.601768	34.680367	26.669683	32.177921	35.710381
SLC35A1	SLC35A1	6	+	87472925	87512339	7.695608	9.931392	8.258919	7.356134	9.219547
UBA7	UBA7	3	-	49805205	49813958	5.251813	0.164936	1.859761	1.128214	3.108576
MIR4433A	MIR4433A	2	+	64340759	64340839	0.0	0.0	0.0	0.0	0.0
NDFIP2-AS1	NDFIP2-AS1	13	-	79477364	79481231	0.000000	0.000000	0.000000	0.000000	0.000000
SLC5A10	SLC5A10	17	+	18950676	19020691	0.150321	0.000000	0.104566	0.405724	0.000000
CNKSR3	CNKSR3	6	-	154387515	154510685	5.098145	2.348626	4.879924	5.634123	5.391868
SDK1	SDK1	7	+	3301448	4268999	3.630594	3.717175	3.870309	5.318930	7.226531
IDH2	IDH2	15	-	90083980	90102554	55.065304	53.747383	54.909996	63.112175	62.744240
KRTAP9-6	KRTAP9-6	17	+	41265378	41265860	0.0	0.0	0.0	0.0	0.0
SSC5D	SSC5D	19	+	55488503	55519099	1.346712	0.371240	1.577865	0.631471	3.122886
NDN	NDN	15	-	23685407	23687303	0.0	0.0	0.0	0.0	0.0
ASGR2	ASGR2	17	-	7101322	7114811	0.0	0.0	0.0	0.0	0.0
FAM238A	FAM238A	10	+	26589865	26594322	0.0	0.0	0.0	0.0	0.843660
ZNF836	ZNF836	19	-	52154107	52171683	0.853689	0.600506	0.764414	1.038360	1.616680
CD79B	CD79B	17	-	63928736	63932354	0.0	0.0	0.0	0.786934	0.0
ADPGK-AS1	ADPGK-AS1	15	+	72782835	72798199	2.462364	5.179872	2.251874	2.840254	5.827148
TPPP2	TPPP2	14	+	21030186	21032173	0.000000	0.000000	0.000000	0.000000	0.000000
LOC105374313	LOC105374313	3	+	150096443	150151001	0.000000	0.0	0.000000	0.0	0.0
ODF2L	ODF2L	1	-	86346824	86396342	17.470028	16.560461	18.867268	19.512894	23.097216
PTPRB	PTPRB	12	-	70515871	70637440	0.405615	0.545268	0.533831	0.280439	0.547803
LINC02551	LINC02551	11	-	130844193	130862110	0.0	0.000000	0.0	0.000000	2.249391
PAPPA	PAPPA	9	+	116153792	116402321	0.080151	0.000000	0.340762	0.061023	0.000000
FOXO4	FOXO4	X	+	71096149	71103534	4.780930	2.179546	6.243270	4.318434	4.422393
LINC02468	LINC02468	12	-	20120980	20127901	0.0	0.0	0.0	0.0	0.0
BMPR2	BMPR2	2	+	202376327	202567751	15.513699	23.814383	18.148811	19.721426	19.913609
TMEM64	TMEM64	8	-	90621995	90645905	6.211339	6.561017	5.521312	5.853002	6.395494
PREPL	PREPL	2	-	44317609	44361862	12.257312	6.594141	15.684108	15.488596	16.683016
SCAND1	SCAND1	20	-	35953617	35955359	156.696945	207.801956	153.231400	126.472374	157.230194
LOC100129316	LOC100129316	9	-	91063294	91075132	0.000000	0.000000	0.000000	0.0	0.000000
OR52M1	OR52M1	11	+	4545191	4546144	0.0	0.0	0.0	0.0	0.0
MT1IP	MT1IP	16	+	56676116	56677877	0.0	0.0	0.0	0.0	0.0
LCA10	LCA10	X	+	153880672	153888973	0.495688	0.000000	0.558946	0.000000	0.000000
VAX2	VAX2	2	+	70900590	70933445	36.825977	38.103893	26.857620	18.740034	35.968830
GJB4	GJB4	1	+	34759741	34763724	0.648109	0.0	0.534089	0.439208	0.000000
CTU2	CTU2	16	+	88706463	88715396	41.022251	21.779478	38.390160	55.018623	37.722576
ADGRF3	ADGRF3	2	-	26308173	26346817	1.650553	0.589242	1.377481	1.070109	1.173682
CILP	CILP	15	-	65195999	65211502	0.0	0.0	0.568833	0.000000	0.266497
FGF19	FGF19	11	-	69698238	69704338	0.704783	1.119866	0.0	0.000000	0.823269
OTUD7B	OTUD7B	1	-	149937812	150010726	24.363375	20.665497	26.311573	28.683279	25.626102
FAM169A	FAM169A	5	-	74777574	74866838	10.173245	13.928188	15.067698	12.734301	13.889091
OR1K1	OR1K1	9	+	122800123	122801073	0.051999	0.0	0.0	0.0	0.000000
MKRN7P	MKRN7P	20	-	46463660	46465292	0.0	0.0	0.0	1.093152	0.0
IRX3	IRX3	16	-	54283300	54286466	37.071636	32.657436	32.283436	39.105762	52.749550
ARNTL2-AS1	ARNTL2-AS1	12	-	27389789	27446634	1.379756	2.049995	1.085099	0.813743	0.000000
BRD3OS	BRD3OS	9	+	134025393	134030460	10.482281	13.660313	13.551257	14.644301	11.032748
CCZ1	CCZ1	7	+	5898710	5925972	19.603142	8.628926	19.888857	22.779457	17.499678
MIR376A1	MIR376A1	14	+	101040782	101040849	0.0	0.0	0.0	0.0	0.0
OR2A4	OR2A4	6	-	131699644	131701401	0.000000	0.000000	0.000000	0.000000	0.0
MYBPC1	MYBPC1	12	+	101594931	101685880	0.0	0.000000	0.000000	0.0	0.0
CD34	CD34	1	-	207886538	207911338	0.000000	0.0	0.000000	0.117880	0.129670
MIR498	MIR498	19	+	53674197	53674320	0.0	0.0	0.0	0.0	0.0
FNDC3A	FNDC3A	13	+	48975912	49209779	14.754106	20.688082	26.452213	28.959238	20.562969
DIP2A	DIP2A	21	+	46458891	46571226	28.427500	18.560226	26.418612	28.880434	35.983776
MIR1233-2	MIR1233-2	15	-	34382069	34528371	0.000000	0.000000	0.000000	0.000000	0.000000
LOC100507412	LOC100507412	21	+	8197620	8411091	2.473315	1.572830	1.833879	1.606580	1.994201
GOT1	GOT1	10	-	99396870	99430773	23.837984	23.447725	28.062193	24.239559	31.860334
FAM236A	FAM236A	X	+	72938163	72938958	0.000000	0.0	0	0.0	0.000000
DMBT1	DMBT1	10	+	122560665	122643736	0.103278	0.000000	0.000000	0.0	0.0
CCND3	CCND3	6	-	41934933	42048894	92.162766	59.101543	98.179871	104.137947	120.816338
LINC01096	LINC01096	4	-	13546076	13547824	0.791677	0.0	0.0	0.067618	0.0
TSNARE1	TSNARE1	8	-	142212080	142403249	7.038774	5.198479	3.745617	4.732898	4.070825
SNORD115-9	SNORD115-9	15	+	25178741	25191497	0.000000	0.000000	0.000000	0.000000	0.000000
NUTM2B	NUTM2B	10	+	79703227	79712757	6.205754	6.448716	6.826333	6.068312	6.987158
MIR5186	MIR5186	3	-	151565876	151565995	0.0	0.0	0.0	0.0	0.0
SNHG15	SNHG15	7	-	44983023	44986696	711.623901	370.578979	596.284729	483.690857	657.576233
MIR4296	MIR4296	10	-	125032783	125032870	0.000000	0.000000	0.000000	0.000000	4.860022
ZNF414	ZNF414	19	-	8510578	8514164	46.087250	101.035622	53.389114	45.228481	65.538498
GPR50-AS1	GPR50-AS1	X	-	151175198	151177836	0.000000	0.000000	0.000000	0.000000	0.000000
PPP1R11	PPP1R11	6	+	30067155	30070331	92.736473	95.933708	77.410507	89.175308	94.436684
ZFAS1	ZFAS1	20	+	49278178	49289258	121.065437	96.825706	105.445251	117.157761	163.717300
LINC02368	LINC02368	12	+	128118217	128121952	0.0	0.0	0.0	0.0	0.0
TBX20	TBX20	7	-	35202430	35254100	19.330074	16.712055	26.451044	32.581963	26.627781
LYG1	LYG1	2	-	99284238	99301176	27.206055	6.552642	13.389414	16.139875	17.418613
MIR34AHG	MIR34AHG	1	-	9148011	9182338	18.050510	11.732610	1.313374	15.801892	13.880069
SEC61B	SEC61B	9	+	99222288	99230619	194.062576	163.301453	215.445602	169.075943	208.384247
ZNF821	ZNF821	16	-	71859680	71884190	20.661242	13.831591	15.034065	18.549320	15.131383
MTHFD2L	MTHFD2L	4	+	74123273	74303097	31.247568	19.773823	33.993237	32.415947	27.093225
PYDC2	PYDC2	3	+	191461163	191461456	0.0	0.0	0.0	0.000000	0.0
NCAPG2	NCAPG2	7	-	158631169	158704831	31.006615	17.349855	27.035780	35.957890	26.970840
LOC100291105	LOC100291105	20	-	57384160	57393056	0.428892	0.000000	0.000000	0.671604	2.235167
NAPB	NAPB	20	-	23374519	23421519	8.200632	10.903155	10.072813	12.245927	10.758724
SNORD130	SNORD130	10	-	28073237	28073378	0.000000	0.000000	0.000000	0.000000	0.000000
CENPP	CENPP	9	+	92325468	92615155	47.362354	37.777351	39.422264	38.765141	54.470894
LOC341056	LOC341056	11	+	123017566	123019611	0.458176	3.570431	0.785364	0.624922	1.982846
CABS1	CABS1	4	+	70334954	70337116	0.0	0.0	0.0	0.0	0.000000
HOXC10	HOXC10	12	+	53985162	53990278	46.636345	56.516205	49.499809	52.685005	51.138763
H2AFB1	H2AFB1	X	-	155459419	155459935	0.000000	0.000000	0.000000	0.000000	0.000000
CT47A8	CT47A8	X	-	120877491	120985784	0.0	0.0	0.0	0.0	0.0
SCRG1	SCRG1	4	-	173384701	173519238	0.000000	0.000000	0.000000	0.0	0.334127
RARRES2	RARRES2	7	-	150338318	150341674	0.153520	0.0	0.307777	1.819030	0.382372
PWAR4	PWAR4	15	+	25211692	25212033	0.000000	0.000000	0.000000	0.000000	0.000000
OPN1MW3	OPN1MW3	X	+	154257560	154271090	0.000000	0	0.000000	0	0
RXFP1	RXFP1	4	+	158521714	158653369	0.0	0.000000	0.000000	0.0	0.000000
PCDHA11	PCDHA11	5	+	140867513	141012344	0.000000	0.000000	0.157599	0.041484	0.037747
CLU	CLU	8	-	27596917	27614811	7.677359	12.395921	7.099999	5.827337	9.283939
RNVU1-18	RNVU1-18	1	-	16514122	16514285	0.000000	0	0.000000	0.000762	0.000000
PRSS40A	PRSS40A	2	+	130570846	130584161	0.000000	0	0	0.000000	0.000000
MIR190A	MIR190A	15	+	62823957	62824041	0.000000	0.000000	0.000000	0.000000	0.000000
COP1	COP1	1	-	175944826	176207244	33.192165	18.667938	37.447506	36.820541	34.422752
GACAT1	GACAT1	2	+	107754112	107822129	0.000000	0.0	0.0	0.0	0.0
SNCA	SNCA	4	-	89724099	89838296	3.829993	2.780846	4.613219	4.008880	3.616907
FAT3	FAT3	11	+	92352096	92896469	0.825563	0.642256	1.238607	1.677970	0.910791
NTSR1	NTSR1	20	+	62708837	62762771	0.000000	0.000000	0.453336	0.0	0.000000
DGKA	DGKA	12	+	55931162	55954023	8.714368	3.271837	7.606894	6.372855	4.541705
GLT6D1	GLT6D1	9	-	135623656	135639540	0.0	0.0	0.0	0.0	0.0
SNIP1	SNIP1	1	-	37534449	37554344	4.519341	8.790051	5.051726	7.843809	5.656834
LINC02135	LINC02135	16	+	86286431	86293389	0.0	0.0	0.0	0.0	0.0
ZNF34	ZNF34	8	-	144772224	144787345	1.751975	0.887995	14.427980	3.996974	2.386386
ERG	ERG	21	-	38367261	38661780	0.0	0.0	0.000000	0.0	0.0
PIK3R6	PIK3R6	17	-	8802723	8867677	0.0	0.0	0.0	0.0	0.000000
MYO5A	MYO5A	15	-	52307284	52529050	9.648594	9.667297	9.926435	9.792831	9.471593
USP17L28	USP17L28	4	+	9325165	9364721	0.0	0.0	0.0	0.0	0.0
CYBB	CYBB	X	+	37780017	37813461	0.000000	0.0	0.0	0.0	0.0
SKP2	SKP2	5	+	36152043	36184040	90.934372	48.511444	118.451271	114.259422	101.753815
FYB1	FYB1	5	-	39105252	39270657	0.0	0.0	0.0	0.0	0.0
CDK11A	CDK11A	1	-	1702384	1724565	39.453495	42.381577	18.438194	29.540970	37.290916
ZNF317	ZNF317	19	+	9140380	9163415	31.819893	27.740574	37.516373	43.834606	31.941053
MIR629	MIR629	15	-	70079372	70079468	0.000000	0.000000	0.000000	0.000000	0.000000
NKX6-3	NKX6-3	8	-	41645178	41650817	0.0	0.0	0.000000	0.0	0.0
MIR1206	MIR1206	8	+	128008898	128008956	10.750330	23.323103	11.220670	9.908915	35.379314
MAGEB4	MAGEB4	X	+	30241940	30244191	0.000000	0.0	0.0	0.000000	0.0
MIR410	MIR410	14	+	101065912	101065991	0.0	0.0	0.0	0.0	0.0
TMEM236	TMEM236	10	+	17752261	17800867	0.998357	0.509361	1.205452	1.534239	1.091589
LOC101927069	LOC101927069	9	-	68953088	68975841	0.000000	0.000000	1.356134	0.563373	0.000000
LOC101929798	LOC101929798	1	-	120985692	121052167	0.0	0.0	0.000000	0.000000	0.000000
TMEM218	TMEM218	11	-	125094371	125111763	1.892897	2.605944	1.985731	2.715175	1.418642
GFRAL	GFRAL	6	+	55327469	55402493	0.0	0.0	0.0	0.0	0.0
NANOG	NANOG	12	+	7789396	7796061	0.0	0.0	0.000000	0.0	0.0
GMDS	GMDS	6	-	1623800	2245634	42.943005	37.527889	36.924061	42.877281	30.772158
TMCC1	TMCC1	3	-	129647792	129893576	6.029139	3.566085	5.727970	5.606388	5.723169
LOC101929457	LOC101929457	15	+	77525595	77534110	0.0	0.0	0.279693	0.000000	0.319994
DAG1	DAG1	3	+	49468703	49535618	42.990482	72.689980	43.306347	49.257080	55.015697
FAM227A	FAM227A	22	-	38578120	38656629	6.432756	7.628289	6.854739	5.887668	3.150117
LOC401463	LOC401463	8	-	64574309	64581892	0.000000	0.000000	0.000000	0.000000	0.0
LRRIQ4	LRRIQ4	3	+	169821891	169837772	0.000000	0.0	0.000000	0.779485	0.000000
SLC2A8	SLC2A8	9	+	127397138	127407891	23.361755	16.189846	22.661728	23.450684	19.347290
LINC00864	LINC00864	10	-	87396574	87407700	0.000000	0.000000	0.000000	0.000000	0.000000
SDHAF3	SDHAF3	7	+	97116593	97181763	23.489252	15.622778	29.595678	34.939510	19.398762
GDF10	GDF10	10	+	47300224	47313583	0.0	0.0	0.0	0.000000	0.0
C6orf62	C6orf62	6	-	24704861	24719175	18.100807	15.838227	18.961201	26.338921	19.114250
ARHGEF18	ARHGEF18	19	+	7395113	7472485	16.344332	11.146286	18.711630	18.174364	22.163218
MIEN1	MIEN1	17	-	39728500	39730563	41.584476	23.195972	58.260109	47.733032	44.591087
LOC653513	LOC653513	1	-	149197559	149201146	0.583993	0.0	0.000000	1.936722	3.686215
ZMYM6	ZMYM6	1	-	34986166	35031968	5.994666	3.147293	6.841104	6.294799	4.912197
MIR6773	MIR6773	16	-	68233426	68233499	0.000000	0.000000	0.000000	0.000000	0.000000
GLG1	GLG1	16	-	74447428	74607144	19.744545	17.255703	20.264860	22.203627	18.558445
ABCD3	ABCD3	1	+	94418377	94518663	34.701786	11.830406	43.157898	33.321602	20.231722
PDCD2L	PDCD2L	19	+	34404398	34426167	60.826111	50.972782	97.016808	83.080513	68.191132
TBC1D30	TBC1D30	12	+	64759497	64881018	3.253722	2.267305	2.956062	3.111894	2.743002
ADGRA1	ADGRA1	10	+	133088004	133131675	1.418561	0.244044	1.292182	1.027701	1.774013
DMTF1	DMTF1	7	+	87152361	87196332	14.668029	9.813431	16.083405	18.419090	17.228611
FOSL1	FOSL1	11	-	65892136	65900526	47.689495	195.970566	119.022011	55.862270	94.354393
MMGT1	MMGT1	X	-	135960588	135974063	25.994688	17.526485	29.669170	31.830481	26.897072
LOC105378330	LOC105378330	10	+	63430575	63431202	0.000000	0.000000	0.000000	0.000000	1.013277
SAP25	SAP25	7	-	100572230	100573820	7.238263	5.045157	7.623914	5.764291	8.993301
FAM136A	FAM136A	2	-	70295976	70302088	143.290009	162.772171	154.111298	157.615601	122.457443
MPZL3	MPZL3	11	-	118226690	118252368	1.555912	2.130253	1.506548	1.913426	3.027415
ZNF670-ZNF695	ZNF670-ZNF695	1	-	246945547	247078813	2.204954	3.746792	3.925597	1.292039	0.594965
ZNF32	ZNF32	10	-	43643859	43648881	33.924332	12.412100	25.496744	23.320087	18.451792
NPSR1	NPSR1	7	+	34658239	34878332	0.000000	0.000000	0.000000	0.000000	0.000000
LINC01784	LINC01784	1	-	12822686	12823223	0.0	0.0	0.0	0.0	0.0
PDCL2	PDCL2	4	-	55556525	55592212	0.0	0.0	0.0	0.0	0.000000
MAFF	MAFF	22	+	38201932	38216510	10.712424	6.344159	10.616837	12.356277	12.739556
METTL18	METTL18	1	-	169792532	169794976	3.746434	1.768500	5.756866	8.244530	3.511429
THCAT158	THCAT158	17	-	47303446	47323901	0.440415	2.960476	1.268237	0.715435	3.826638
ACBD4	ACBD4	17	+	45132600	45144181	16.269445	8.273973	9.524875	8.074235	16.831976
LOC105375075	LOC105375075	6	-	44546161	44551881	0.0	0.0	0.0	0.0	0.0
ATP6V0E2-AS1	ATP6V0E2-AS1	7	-	149867694	149873862	10.513081	10.312168	9.601986	10.361199	11.268663
MIR5192	MIR5192	2	+	62205826	62205917	0.000000	0.000000	0.000000	0.000000	0.000000
ADGRG6	ADGRG6	6	+	142301919	142446266	2.524884	1.773406	2.051296	3.538028	1.137683
TLE3	TLE3	15	-	70047791	70097917	52.626114	53.291199	52.324455	57.512165	62.601151
MIR600	MIR600	9	-	123111546	123111643	0.000000	0.000000	0.657844	0.569234	0.670320
CNNM4	CNNM4	2	+	96760902	96811873	20.661226	23.950716	20.771812	22.666386	23.411089
SASS6	SASS6	1	-	100083546	100133095	19.329681	12.420989	26.362762	32.197933	31.865419
SYNGR3	SYNGR3	16	+	1989970	1994275	21.912951	10.696936	26.417631	17.923319	26.162199
TDRD15	TDRD15	2	+	21123986	21144366	0.0	0.0	0.0	0.0	0.0
PRR15	PRR15	7	+	29563811	29567295	1.757339	0.000000	1.218354	1.672044	1.298999
JOSD1	JOSD1	22	-	38685543	38701418	56.602692	49.460426	12.053934	64.966866	2.655697
ZC4H2	ZC4H2	X	-	64915802	65034744	9.749867	16.148525	9.893757	11.140734	9.726052
MIR4788	MIR4788	3	+	134437827	134437906	0.0	0.0	0.0	0.0	0.0
ARMH2	ARMH2	6	-	24797321	24798896	0.000000	0.000000	0.748499	0.0	0.000000
ZW10	ZW10	11	-	113733183	113773763	33.231388	30.371716	44.449795	43.860416	42.308197
WIPF1	WIPF1	2	-	174559574	174682899	27.020256	37.069675	33.056381	40.595341	28.619129
SNX2	SNX2	5	+	122774996	122834539	19.704130	23.817150	23.562729	25.414608	20.646654
P2RY13	P2RY13	3	-	151326308	151329549	0.918397	0.000000	0.000000	0.540726	1.662131
STK25	STK25	2	-	241494707	241509572	226.181229	224.787842	206.644577	200.916611	201.174988
ZC3H18	ZC3H18	16	+	88570381	88631964	107.048584	107.560692	116.377403	126.422745	114.969917
CCL18	CCL18	17	+	36064272	36071481	0.0	0.0	0.0	0.0	0.0
BRD1	BRD1	22	-	49773278	49827927	39.795467	35.771908	44.577297	44.625935	49.031158
CLDN2	CLDN2	X	+	106900164	106930861	0.326056	0.000000	1.519309	0.310781	1.125440
LINC01748	LINC01748	1	-	60515716	60622685	0.000000	0.000000	0.000000	0.000000	0.0
GRAPL	GRAPL	17	+	19127469	19159187	0.000000	0.0	0.000000	0.000000	0.000000
UEVLD	UEVLD	11	-	18529606	18588838	5.618630	6.101120	13.099345	13.552060	9.355528
MIRLET7BHG	MIRLET7BHG	22	+	46085997	46113928	0.208306	0.529332	0.083796	0.329413	0.047910
DUSP9	DUSP9	X	+	153642443	153651326	7.178782	5.815735	4.932268	3.713347	0.305499
LOC101929613	LOC101929613	16	+	2998955	3000813	0.0	0.0	0.0	0.000000	0.000000
SMYD1	SMYD1	2	+	88067780	88113383	0.0	0.0	0.0	0.0	0.0
RASSF1-AS1	RASSF1-AS1	3	+	50337511	50338296	22.685112	25.558510	14.410460	9.483678	20.226906
RNF185	RNF185	22	+	31160152	31207019	77.970566	25.460859	61.296139	66.152435	70.643959
SNORA86	SNORA86	10	-	32901334	32901472	0.253720	3.916852	0.345734	0.285333	0.795435
ZNF280C	ZNF280C	X	-	130202707	130268899	42.050049	21.644199	49.915421	59.885559	52.248241
MIR627	MIR627	15	-	42199570	42199666	0.000000	0.000000	0.000000	0.000000	0.000000
SNORA36C	SNORA36C	2	-	69520045	69520171	0.000000	0.000000	0.000000	0.000000	0.000000
VMO1	VMO1	17	-	4785285	4786434	0.689946	0.0	1.085257	1.135126	4.762433
GS1-600G8.3	GS1-600G8.3	X	+	13310652	13319933	0.0	0.0	0.0	0.0	0.0
MSC	MSC	8	-	71841542	71844496	0.103429	0.746678	1.125456	0.274436	0.511861
LINC01918	LINC01918	2	+	105144113	105145424	0.0	0.0	0.0	0.0	0.000000
LDHB	LDHB	12	-	21635342	21657855	623.437866	497.125732	856.351440	934.763062	557.124878
RAB23	RAB23	6	-	57186994	57222314	14.397486	9.261975	12.979964	14.126928	11.519471
SNORA21	SNORA21	17	-	38852863	38852995	4.016482	0.000000	0.000000	2.062842	2.174221
ATP2B1	ATP2B1	12	-	89588049	89709366	24.185566	33.832256	24.304358	28.741936	22.526350
UTP6	UTP6	17	-	31863171	31901710	65.646240	68.443878	69.322174	73.513710	57.087025
LOC729681	LOC729681	6	+	166097720	166099637	0.355383	0.0	0.0	0.0	0.0
H2AFB2	H2AFB2	X	-	155459415	155460008	0.000000	0.000000	0.000000	0.000000	0.000000
TTC3	TTC3	21	+	37073184	37203118	43.286144	65.423912	57.184822	56.775280	48.269093
LINC02262	LINC02262	4	-	117314597	117360639	0.0	0.000000	0.0	0.0	0.0
MMP8	MMP8	11	-	102711795	102724954	0.0	0.0	0.0	0.0	0.0
NPFFR1	NPFFR1	10	-	70254957	70283694	0.0	0.0	0.0	0.000000	0.0
SBF1P1	SBF1P1	8	-	55449197	55455321	0.125494	0.045909	0.000000	0.136981	0.257681
LOC102724589	LOC102724589	10	+	114994657	114996593	0.0	0.0	0.0	0.0	0.0
LINC00605	LINC00605	14	-	103187221	103189028	0.0	0.0	0.0	0.0	0.0
MT3	MT3	16	+	56589337	56591088	0.000000	0.0	0.0	0.000000	0.0
ALDH5A1	ALDH5A1	6	+	24494969	24537207	7.899167	11.654469	6.970394	11.686884	7.621592
ODAM	ODAM	4	+	70196527	70204576	0.000000	0.0	0.0	0.0	0.0
CYP4F24P	CYP4F24P	19	-	15759334	15779988	0.0	0.0	0.0	0.0	0.000000
RUNX2	RUNX2	6	+	45328317	45551082	0.395321	1.700226	0.891397	0.563226	0.333266
MIR30D	MIR30D	8	-	134804876	134804945	0.0	0.0	0.0	0.0	0.0
OXCT1-AS1	OXCT1-AS1	5	+	41870030	41872236	0.000000	0.000000	0.000000	0.000000	0.285636
XPR1	XPR1	1	+	180632010	180890279	11.728351	7.491983	12.411798	9.526126	11.203982
TRDN-AS1	TRDN-AS1	6	+	123439604	123471756	0.0	0.0	0.0	0.0	0.0
CCND1	CCND1	11	+	69641105	69654474	28.851437	29.542431	28.449717	31.972349	27.514818
LOC101928266	LOC101928266	17	-	9171068	9179118	0.926224	2.700607	0.280389	1.386437	1.746349
ABCB9	ABCB9	12	-	122920951	122966509	8.413933	5.929812	7.970796	6.328825	7.749186
MIR3654	MIR3654	11	-	62560163	62560306	0.000237	0.000124	0.000251	0.000039	0.000313
RARG	RARG	12	-	53210566	53232256	3.963890	2.277272	5.324948	4.745226	3.317411
RPS28	RPS28	19	+	8321496	8323340	156.069412	119.100708	142.584137	112.656113	105.472374
ESM1	ESM1	5	-	54977867	54985586	0.0	0.000000	0.0	0.000000	0.0
KLHL15	KLHL15	X	-	23983716	24027186	34.684544	22.641401	38.231594	39.491215	36.471512
ROR1-AS1	ROR1-AS1	1	-	64094442	64113791	0.000000	0.000000	0.000000	0.337597	0.000000
