Gene	Name	Chr	Strand	Start	End	CRISPRa_C1_Rep1	CRISPRa_C1_Rep2
ZNF665	ZNF665	19	-	53163299	53193425	0.0	0.0
GNS	GNS	12	-	64713442	64759446	0.255719	0.0
WNK3	WNK3	X	-	54192823	54358005	4.506793	16.253176
PAX1	PAX1	20	+	21705659	21718486	0.0	0.0
LOC101927318	LOC101927318	12	-	49951512	49962924	0.0	0.0
HOXB9	HOXB9	17	-	48621157	48626473	0.0	0.0
SPERT	SPERT	13	+	45702304	45714559	0.0	0.0
IBSP	IBSP	4	+	87799554	87812434	0.0	0.0
MIR583	MIR583	5	+	96079138	96079212	0.0	0.0
SBK3	SBK3	19	-	55540656	55545543	0.0	0.0
CPLX2	CPLX2	5	+	175796607	175884021	0.0	0.0
LOC100652931	LOC100652931	Y	+	22316678	22320384	0.0	0.0
USP3-AS1	USP3-AS1	15	-	63587710	63600827	0.000000	0.000000
PRODH	PRODH	22	-	18912774	18936553	0.000000	0.0
SFI1	SFI1	22	+	31496139	31618551	11.731128	0.000000
RPRD1B	RPRD1B	20	+	38033546	38092364	9.152695	9.930083
LOC653080	LOC653080	5	+	70719789	70872789	0.000000	0
RNF6	RNF6	13	-	26132115	26222371	196.585754	231.203629
CRYZL2P	CRYZL2P	1	-	178006140	178038007	0.0	0.0
SVIL2P	SVIL2P	10	+	30692274	30717013	0.0	0.000000
ABCD4	ABCD4	14	-	74285277	74303064	11.476853	21.984364
RNA5S8	RNA5S8	1	-	228610266	228646158	0	0.0
EEF1B2	EEF1B2	2	+	206159594	206162929	395.572266	1312.056885
CCND1	CCND1	11	+	69641105	69654474	0.0	0.0
UBIAD1	UBIAD1	1	+	11273198	11299571	6.217041	6.444890
DEFB130B	DEFB130B	8	-	12064389	12071747	0.0	0.0
PRKAA2	PRKAA2	1	+	56645314	56715335	107.782761	26.012840
FZR1	FZR1	19	+	3506297	3536757	24.465054	0.0
CDH11	CDH11	16	-	64943753	65122137	0.0	0.0
SCRN1	SCRN1	7	-	29920103	29990289	1.814842	60.024502
MIR7973-2	MIR7973-2	15	-	51314032	51314107	0.0	0.0
TBX2	TBX2	17	+	61399896	61409466	0.0	0.000000
APPL2	APPL2	12	-	105173297	105236230	0.0	0.0
FAM3A	FAM3A	X	-	154506159	154516242	23.582888	0.0
TDGF1	TDGF1	3	+	46574555	46582462	0.0	0.0
HIST1H2BE	HIST1H2BE	6	+	26183796	26184230	7.196324	0.584409
PXT1	PXT1	6	-	36390551	36442889	0.000000	0.0
LOC101927248	LOC101927248	13	-	94704744	94708486	0.0	0.0
MIR8485	MIR8485	2	-	50696172	50696262	0.0	0.0
TMEM179B	TMEM179B	11	+	62787402	62790400	431.570679	165.982895
MARCH9	MARCH9	12	+	57755098	57760410	0.0	68.518715
APOL4	APOL4	22	-	36189128	36204833	0.0	0.0
ZNF382	ZNF382	19	+	36605305	36634114	3.501518	0.0
CEP250	CEP250	20	+	35455402	35511975	0.0	0.0
MIR3911	MIR3911	9	-	127690687	127690795	14.897591	30.741405
UBE2CP5	UBE2CP5	19	+	57867760	57869011	20.601301	0.0
AFAP1L1	AFAP1L1	5	+	149271838	149343635	0.0	0.0
MIR6080	MIR6080	17	+	64780759	64780824	0.000000	0.000000
ABHD17C	ABHD17C	15	+	80695310	80755621	0.0	0.0
KLHL7-DT	KLHL7-DT	7	-	23101228	23105703	11.406292	0.0
NUMBL	NUMBL	19	-	40665906	40690658	0.028864	0.000000
TEX12	TEX12	11	+	112167372	112172556	0.0	11.054037
LRRC24	LRRC24	8	-	144522377	144527032	0.000000	0.0
GPR158	GPR158	10	+	25175361	25602228	0.0	0.0
CNBP	CNBP	3	-	129167815	129183967	934.167236	941.257935
DSG2	DSG2	18	+	31498004	31549007	55.492249	82.289299
PDE5A	PDE5A	4	-	119494395	119628826	0.0	0.000000
WDR92	WDR92	2	-	68129805	68157560	50.614098	104.221916
MDM1	MDM1	12	-	68294566	68332414	12.927980	0.0
CARM1	CARM1	19	+	10871577	10922772	4.228800	7.663830
POLR3C	POLR3C	1	+	145824069	145844401	266.221771	73.875786
ZFAND1	ZFAND1	8	-	81701331	81721304	230.410782	137.838135
DAB2IP	DAB2IP	9	+	121567102	121785530	0.0	0.0
CDKL3	CDKL3	5	-	134298424	134371047	0.0	11.828154
LOC388282	LOC388282	16	+	57810637	57816927	0.000000	0.0
ANXA9	ANXA9	1	+	150982292	150995633	4.527688	0.0
GBA3	GBA3	4	+	22692914	22819572	0.0	0.0
MIR518B	MIR518B	19	+	53702737	53702819	0.0	0.0
FAM129B	FAM129B	9	-	127505338	127579007	0.000000	0.0
SYT1	SYT1	12	+	78863993	79452008	1.308687	0.991820
CIZ1	CIZ1	9	-	128166065	128204383	0.000000	6.359295
SNAR-H	SNAR-H	2	-	77954907	77955026	0.0	0.0
ZDHHC22	ZDHHC22	14	-	77131270	77141791	3.835950	0.0
LINC02055	LINC02055	8	+	136530798	136897601	0.0	0.0
LINC02337	LINC02337	13	+	111596009	111642079	0.0	0.0
CSGALNACT1	CSGALNACT1	8	-	19404161	19758029	0.0	0.0
TBX5	TBX5	12	-	114353930	114408442	0.0	0.0
BICDL2	BICDL2	16	-	3027867	3035541	0.0	0.0
LOC100129148	LOC100129148	7	-	139417463	139427526	0.000000	0.000000
SPNS1	SPNS1	16	+	28974775	28984548	56.113739	0.0
SLC6A19	SLC6A19	5	+	1201595	1225111	0.0	0.0
MIR3670-2	MIR3670-2	16	+	16306370	16306434	0.000000	0
MIR4534	MIR4534	22	+	37988794	37988853	0.000000	0.000000
MIR1302-5	MIR1302-5	20	-	50614636	50614785	0.0	0.0
CLTA	CLTA	9	+	36190856	36212062	431.120117	457.194824
LRPAP1	LRPAP1	4	-	3503597	3532422	17.251884	2.038093
ELOC	ELOC	8	-	73945138	73972287	282.868011	267.971008
FAM43B	FAM43B	1	+	20552573	20555020	0.0	0.0
LOC79999	LOC79999	17	+	19089461	19223730	0.0	0.0
VAMP7	VAMP7	Y	+	57067800	57130289	248.462708	185.734314
HRAS	HRAS	11	-	532242	535567	24.257996	126.413704
GPR15	GPR15	3	+	98531899	98534679	0.0	0.0
SGPP2	SGPP2	2	+	222424052	222562622	0.000000	0.000000
TET3	TET3	2	+	73984910	74108175	1.808127	0.000000
MKLN1-AS	MKLN1-AS	7	-	131309744	131327779	154.664429	154.141830
ADI1	ADI1	2	-	3497919	3519579	183.489227	0.0
TRIM42	TRIM42	3	+	140678024	140701150	0.0	0.0
CCNDBP1	CCNDBP1	15	+	43185268	43197177	51.934940	0.061190
SNORD115-38	SNORD115-38	15	+	25239838	25239919	0.000000	0.0
CSNK1G3	CSNK1G3	5	+	123512099	123617044	55.396217	0.0
ODC1-DT	ODC1-DT	2	+	10449728	10455552	0.0	0.0
LOC101929089	LOC101929089	11	-	118511918	118531094	0.000000	0.000000
GP2	GP2	16	-	20309574	20327620	0.0	0.0
VEGFD	VEGFD	X	-	15345596	15384413	0.0	0.0
PAH	PAH	12	-	102836886	102958410	0.0	0.0
NT5C1B-RDH14	NT5C1B-RDH14	2	-	18554723	18589580	0.000000	0.000000
TSNAX-DISC1	TSNAX-DISC1	1	+	231528653	232041273	0.000000	0.000000
MIR106A	MIR106A	X	-	134170198	134170278	0.0	0.0
MIR3918	MIR3918	6	-	158764661	158764753	0.000000	0.0
TACC1	TACC1	8	+	38728186	38853030	6.965585	25.777880
RAB3IL1	RAB3IL1	11	-	61897296	61920269	13.875202	0.0
MIR924HG	MIR924HG	18	-	39206924	39751995	120.571419	17.795019
SHISA5	SHISA5	3	-	48467798	48504826	394.580353	279.428741
ZKSCAN7-AS1	ZKSCAN7-AS1	3	-	44557357	44685653	5.288191	0.000000
NBPF18P	NBPF18P	1	+	152018278	152022509	0.0	0.0
SUN5	SUN5	20	-	32983775	33004433	0.0	0.0
MIR559	MIR559	2	+	47377675	47377770	0.000000	0.0
CFAP54	CFAP54	12	+	96489571	96875555	0.0	0.0
CCNB2	CCNB2	15	+	59105085	59125045	129.969559	9.438656
CCL15-CCL14	CCL15-CCL14	17	-	35983656	36002038	0.0	0.0
RTP4	RTP4	3	+	187368380	187371581	0.0	0.0
SNAR-A14	SNAR-A14	19	+	47923779	47923899	77.500366	15.613433
KCNN4	KCNN4	19	-	43766533	43781257	0.0	0.0
PRKAG2-AS1	PRKAG2-AS1	7	+	151877042	151879223	56.154491	0.000000
PDIA3P1	PDIA3P1	1	+	147177851	147179949	11.343422	10.794928
ZC3H11A	ZC3H11A	1	+	203795537	203854128	46.068272	122.693619
ILF3	ILF3	19	+	10654261	10692419	39.702168	5.524194
PSMG4	PSMG4	6	+	3258928	3268066	60.164604	0.0
MIR7-3HG	MIR7-3HG	19	+	4769105	4772556	20.637897	0.000000
RPS29	RPS29	14	-	49570984	49598710	662.356201	672.584351
TMTC3	TMTC3	12	+	88142296	88199887	81.695946	38.110138
MRPS16	MRPS16	10	-	73248843	73252693	40.024612	17.695221
LSM8	LSM8	7	+	118184032	118204039	13.520279	25.804684
LOC100129878	LOC100129878	18	+	49023703	49048473	0.000000	0.0
POM121L4P	POM121L4P	22	+	20689555	20691721	0.000000	0.0
SNORD115-7	SNORD115-7	15	+	25182385	25182466	0.000000	0.0
ZNF747	ZNF747	16	-	30530367	30534970	19.698133	0.0
GTF2IRD1	GTF2IRD1	7	+	74453790	74602593	6.065884	0.0
SUCNR1	SUCNR1	3	+	151873643	151884619	0.0	0.0
RHD	RHD	1	+	25272486	25330445	0.000000	0.000000
PIN4P1	PIN4P1	15	-	43875826	43878171	15.992684	5.063623
PCSK1	PCSK1	5	-	96390334	96433248	0.0	0.0
RHBDD2	RHBDD2	7	+	75878992	75888926	231.021973	234.615875
PRKCB	PRKCB	16	+	23835979	24220611	0.0	0.015656
ZNF419	ZNF419	19	+	57487711	57494680	37.435760	0.0
OR10A7	OR10A7	12	+	55221025	55221975	0.0	0.0
ATP5F1E	ATP5F1E	20	-	59028678	59032367	1026.679077	549.258301
LINC01281	LINC01281	X	-	39304956	39327362	0.0	0.0
SHISAL2B	SHISAL2B	5	+	64690308	64718190	0.000000	0.000000
OR4F13P	OR4F13P	15	+	101842119	101850324	0.0	0.0
MMP21	MMP21	10	-	125766456	125775821	0.0	0.0
MIR7851	MIR7851	12	-	42323700	42323859	0.000000	0.000000
LINC01166	LINC01166	10	-	132943967	132965289	24.499758	0.0
CRHR2	CRHR2	7	-	30651943	30700103	0.0	0.0
RAP1GDS1	RAP1GDS1	4	+	98261376	98443861	32.853172	39.318916
AMPH	AMPH	7	-	38383696	38631567	0.000000	0.000000
C16orf95	C16orf95	16	-	87302798	87317420	0.0	58.242809
LINC02301	LINC02301	14	+	82642632	82706825	0.0	0.000000
SLC8A1	SLC8A1	2	-	40112146	40512435	0.0	0.0
RARRES3	RARRES3	11	+	63536801	63546458	0.000000	0.0
DPP9	DPP9	19	-	4675224	4723843	9.475854	16.230764
DMBX1	DMBX1	1	+	46506996	46514214	0.0	0.0
MIR922	MIR922	3	-	197674496	197674576	0.526955	0.000000
MIR3180-1	MIR3180-1	16	+	16309875	16309968	0.000000	0
MYL9	MYL9	20	+	36541484	36549823	0.000000	0.000000
KLHL35	KLHL35	11	-	75422394	75430629	0.0	0.0
SPATA31A3	SPATA31A3	9	-	66986304	66992550	0.0	0.0
LRRC53	LRRC53	1	-	74468980	74512614	0.000000	0.000000
PSMC1	PSMC1	14	+	90256550	90272625	287.478821	354.476501
RGN	RGN	X	+	47078355	47093314	0.0	0.0
RNF152	RNF152	18	-	61815071	61893071	0.0	0.0
ZCCHC12	ZCCHC12	X	+	118823743	118826973	0.0	0.0
SMARCC2	SMARCC2	12	-	56162359	56189574	14.912185	0.000000
STMND1	STMND1	6	+	17102258	17131372	0.000000	0.0
CCDC102A	CCDC102A	16	-	57512178	57536565	15.435783	0.0
LINC02109	LINC02109	5	+	29143503	29172976	0.0	0.0
LOC100129027	LOC100129027	21	-	45827841	45836419	0.0	0.0
LINC01711	LINC01711	20	+	58634772	58635738	0.0	0.0
SNORD154	SNORD154	20	-	40714572	40714623	0.0	0.0
RALYL	RALYL	8	+	84182787	84921843	0.0	0.0
ILKAP	ILKAP	2	-	238170402	238203683	74.256828	265.132080
BISPR	BISPR	19	+	17405686	17415736	0.001015	0.0
VBP1	VBP1	X	+	155197007	155239841	973.192017	627.721436
PRKCZ	PRKCZ	1	+	2050411	2185399	5.132921	0.000000
TMEM219	TMEM219	16	+	29962030	29973052	39.814167	104.989326
LOC101927908	LOC101927908	5	-	167164934	167168401	0.0	0.0
PEX11B	PEX11B	1	-	145911348	145918924	123.000320	0.000000
SAMD14	SAMD14	17	-	50111309	50129882	0.000000	0.0
CTD-2350J17.1	CTD-2350J17.1	5	-	15602189	15615002	0.0	0.0
MBOAT7	MBOAT7	19	-	54173412	54189882	0.000000	0.000000
DEPDC1B	DEPDC1B	5	-	60596912	60700166	0.0	0.0
METTL21C	METTL21C	13	-	102685747	102694521	0.0	0.0
MIR4665	MIR4665	9	+	6007826	6007904	0.000000	0.000000
SERPINA11	SERPINA11	14	-	94442464	94452785	0.0	0.0
CLCA4	CLCA4	1	+	86547076	86580749	0.0	0.000000
BLOC1S1-RDH5	BLOC1S1-RDH5	12	+	55716034	55724742	30.839657	49.228390
LINC01935	LINC01935	2	-	102967409	102984429	0.0	0.0
SNRK	SNRK	3	+	43286512	43351142	0.000000	0.000000
LINC01337	LINC01337	5	-	80608621	80622524	0.0	0.0
NCKAP1L	NCKAP1L	12	+	54497711	54543115	0.0	0.0
SRSF7	SRSF7	2	-	38743599	38751494	157.974686	275.114716
SLC18A2	SLC18A2	10	+	117241114	117279491	2.293621	21.519672
MIR30E	MIR30E	1	+	40754355	40754446	0.000000	0.000000
UVRAG	UVRAG	11	+	75815167	76144238	62.859760	10.062257
HEPN1	HEPN1	11	+	124919250	124920677	0.0	0.0
LRP1B	LRP1B	2	-	140231427	142131701	0.0	0.0
PNMA8B	PNMA8B	19	-	46491191	46495912	0.000000	0.000000
GAP43	GAP43	3	+	115623304	115721487	0.0	0.0
BIRC7	BIRC7	20	+	63235883	63240507	0.0	0.0
NAGLU	NAGLU	17	+	42535933	42544448	0.0	0.0
ERICH4	ERICH4	19	+	41443149	41444765	0.0	0.0
DNAJC10	DNAJC10	2	+	182716041	182780023	34.948734	5.108859
AQP7P3	AQP7P3	9	-	40463758	65912559	0.0	0.0
CDCA2	CDCA2	8	+	25458931	25507917	9.206073	30.404266
IDH1	IDH1	2	-	208236227	208255143	0.000000	0.0
PADI4	PADI4	1	+	17308195	17364000	0.0	0.0
SCAMP5	SCAMP5	15	+	74995535	75021495	0.0	0.0
NPIPA3	NPIPA3	16	+	14711689	14726338	0.000000	0
ZNF75D	ZNF75D	X	-	135248589	135344087	0.0	0.0
MINPP1	MINPP1	10	+	87504466	87553461	0.000000	11.694835
SARNP	SARNP	12	-	55752463	55817756	940.486877	792.556519
SNORD115-45	SNORD115-45	15	+	25264527	25264579	0.000000	0.0
EIF2B4	EIF2B4	2	-	27364352	27370457	189.913132	167.886398
MIR6504	MIR6504	16	+	81611348	81611408	0.000000	0.000000
FHOD1	FHOD1	16	-	67229389	67247522	0.000000	0.0
LENEP	LENEP	1	+	154993586	154994315	0.0	0.0
LINC01844	LINC01844	5	+	142745600	142760993	34.754951	0.0
FXYD5	FXYD5	19	+	35154722	35169885	32.549938	57.219234
MEIS1	MEIS1	2	+	66435125	66573869	4.876470	0.0
LOC101928075	LOC101928075	14	-	70608798	70641298	0.0	0.0
LINC01990	LINC01990	3	+	107430930	107463912	0.081959	0.0
GCSHP3	GCSHP3	2	-	206115573	206116572	54.065056	0.0
DANCR	DANCR	4	+	52712394	52720697	240.509598	0.119174
TAF1	TAF1	X	+	71366239	71530525	0.339812	0.800111
UGGT2	UGGT2	13	-	95801581	96053482	3.958222	1.268179
PRPF38A	PRPF38A	1	+	52404602	52420835	305.515167	75.816376
ASCC1	ASCC1	10	-	72096032	72217134	192.601440	0.000000
OR1L1	OR1L1	9	+	122661716	122662648	0.0	0.090121
NCKAP1	NCKAP1	2	-	182924851	183038858	45.837978	95.331871
LYPD3	LYPD3	19	-	43460794	43465679	0.0	0.0
HORMAD2-AS1	HORMAD2-AS1	22	-	30008742	30080480	0.0	0.000000
ROPN1	ROPN1	3	-	123969016	123992170	0.925354	0.0
GAREM2	GAREM2	2	+	26173088	26189663	4.780960	0.000000
PMS2P5	PMS2P5	7	+	74890768	74921138	1.916435	0.0
LOC101927053	LOC101927053	2	+	96919106	96925837	0.0	0.0
WDR75	WDR75	2	+	189441433	189475562	91.127052	0.0
RRAGA	RRAGA	9	+	19049374	19051023	184.145966	58.634304
PDSS1	PDSS1	10	+	26697424	26746797	270.395630	0.000000
WEE2	WEE2	7	+	141708353	141731271	0.0	0.0
TRIP10	TRIP10	19	+	6739682	6751526	28.368708	0.0
TFAP2B	TFAP2B	6	+	50818726	50847613	0.0	0.0
ISL2	ISL2	15	+	76336724	76342475	0.0	0.000000
LINC00678	LINC00678	11	-	27617626	27634627	0.0	0.0
PRRX2	PRRX2	9	+	129665641	129722672	0.0	0.0
IRF2	IRF2	4	-	184387722	184474572	0.0	0.0
ATP2A1-AS1	ATP2A1-AS1	16	-	28878957	28879921	89.869583	15.111134
CCDC105	CCDC105	19	+	15010727	15023271	0.0	0.0
CES2	CES2	16	+	66934471	66945091	0.951757	0.0
TRAF3	TRAF3	14	+	102777479	102911500	3.820822	16.427767
TSN	TSN	2	+	121755545	121767852	108.401421	115.050842
GUSBP4	GUSBP4	6	-	57908553	57936929	16.961224	0.000000
LOC107984132	LOC107984132	13	-	19074034	19118283	0.0	0.0
LMNTD1	LMNTD1	12	-	25476082	25648562	0.000000	0.0
PPM1E	PPM1E	17	+	58755869	58985179	2.865763	0.000000
TYW5	TYW5	2	-	199928911	199955736	2.634905	34.043102
DNPH1	DNPH1	6	-	43225629	43229473	65.736847	154.306961
LINC01648	LINC01648	1	-	30013952	30037612	0.0	0.0
CUL5	CUL5	11	+	108008733	108107776	16.138859	70.898766
RNA5-8SN3	RNA5-8SN3	21	+	8212571	8439978	0.000207	0.000198
LOC101928510	LOC101928510	11	-	36063284	36077901	0.000000	0.000000
LINC01362	LINC01362	1	+	82903183	83166815	0.000000	0.0
ABHD17A	ABHD17A	19	-	1876976	1885519	20.492455	0.0
GML	GML	8	+	142834801	142846846	0.0	0.0
ADAM30	ADAM30	1	-	119893533	119896524	0.0	0.0
ENTPD6	ENTPD6	20	+	25195670	25228075	0.0	5.466132
SNORD139	SNORD139	22	-	39316842	39316896	0.000000	0.035830
NPHP3	NPHP3	3	-	132680609	132722409	0.948406	0.000000
OR5I1	OR5I1	11	-	55935456	55936400	0.0	0.0
TMEM38B	TMEM38B	9	+	105694541	105776629	143.218369	50.849110
SRRM1	SRRM1	1	+	24643103	24673281	184.570038	86.109146
NKX1-1	NKX1-1	4	-	1402932	1406442	0.0	0.0
CLVS1	CLVS1	8	+	61287970	61501629	0.000000	0.000000
SNORD114-8	SNORD114-8	14	+	100964781	100964851	0.0	0.0
LOC100506071	LOC100506071	14	-	30876179	30889808	12.899489	16.476768
SMIM11A	SMIM11A	21	+	7744921	7758630	0.000000	0.000000
VPS35L	VPS35L	16	+	19555703	19701124	22.390526	0.0
RPL39L	RPL39L	3	-	187120951	187139523	96.908455	63.183895
DRG2	DRG2	17	+	18087867	18107985	43.284817	0.0
ECI1	ECI1	16	-	2239403	2251601	111.316658	54.878750
CA6	CA6	1	+	8945834	8975089	0.0	0.0
MGAM2	MGAM2	7	+	142111749	142222324	0.0	0.0
MIR4316	MIR4316	17	-	77396984	77397054	0.000000	0.000000
MIR4776-1	MIR4776-1	2	+	212926257	212926336	0.0	0.0
SNAR-A9	SNAR-A9	19	-	50092489	50128522	0.0	0.000000
LINC01555	LINC01555	1	-	84628230	84635020	0.0	0.0
LINC01494	LINC01494	2	-	218900815	218930637	0.0	0.0
MIR1206	MIR1206	8	+	128008898	128008956	0.000000	0.0
OR4F29	OR4F29	1	-	450740	686654	0	0.0
RPL8	RPL8	8	-	144789765	144792446	1353.031006	3805.583984
ERVV-2	ERVV-2	19	+	53044738	53051127	0.0	0.0
SERINC1	SERINC1	6	-	122443351	122471807	384.292908	334.878967
MIR4507	MIR4507	14	-	105858124	105858175	0.0	0.0
SPO11	SPO11	20	+	57329775	57343993	0.0	0.0
SCCPDH	SCCPDH	1	+	246724076	246768138	259.061646	55.911057
SEC22B2	SEC22B2	1	-	148766340	148791969	0.440628	0.270143
SYNPR-AS1	SYNPR-AS1	3	-	63423596	63550051	0.0	0.0
TRNAU1AP	TRNAU1AP	1	+	28553017	28578545	101.454399	70.516899
TMCO3	TMCO3	13	+	113490738	113550229	0.0	72.416588
SESN1	SESN1	6	-	108986437	109094505	0.0	0.0
AAMDC	AAMDC	11	+	77821114	77900785	347.140686	0.000000
LOC103021295	LOC103021295	17	-	4271431	4271894	0.320197	58.462254
AGTPBP1	AGTPBP1	9	-	85546539	85742029	6.728824	186.542618
DUSP19	DUSP19	2	+	183078559	183099994	5.014028	0.0
LAT2	LAT2	7	+	74209757	74229834	0.000000	0.000000
LOC102724135	LOC102724135	15	+	84443446	84474245	0.958992	0.000000
MIR4311	MIR4311	15	+	66040233	66040332	0.000000	0.0
PRKAA1	PRKAA1	5	-	40759379	40798195	15.568780	56.133377
NIPSNAP2	NIPSNAP2	7	+	55964577	56000182	114.822670	95.904594
COL18A1-AS1	COL18A1-AS1	21	-	45419716	45425070	0.0	0.0
LINC02376	LINC02376	12	-	127274271	127284283	0.0	0.0
MIR107	MIR107	10	-	89592747	89592827	0.000000	0.0
NHSL1	NHSL1	6	-	138422044	138572531	4.080549	0.0
MIR588	MIR588	6	+	126484631	126484713	0.000000	0.000000
TKFC	TKFC	11	+	61333182	61353426	12.313526	0.000000
ZNF217	ZNF217	20	-	53567071	53583097	5.419872	39.524117
OR51S1	OR51S1	11	-	4848237	4849208	0.0	0.0
CCDC27	CCDC27	1	+	3752401	3771645	0.0	0.0
CBLIF	CBLIF	11	-	59829273	59845501	0.0	4.595809
ZMAT5	ZMAT5	22	-	29730956	29767011	129.598312	108.274185
HOXA5	HOXA5	7	-	27141052	27143668	2.512094	0.000000
KPNA5	KPNA5	6	+	116681204	116741867	57.677738	0.0
LOC101928358	LOC101928358	X	+	108736540	108738903	0.0	0.0
MIR4254	MIR4254	1	-	31758660	31758735	0.0	0.0
LEF1-AS1	LEF1-AS1	4	+	108167525	108176430	0.130108	0.000000
MIR4650-1	MIR4650-1	7	+	72697903	72697978	0.000000	0.000000
RAB40AL	RAB40AL	X	+	102937272	102938300	0.000000	0.000000
SNRNP27	SNRNP27	2	+	69893943	69905236	343.601501	104.914505
PRPF40A	PRPF40A	2	-	152651593	152718012	83.406464	263.294922
CHODL	CHODL	21	+	17917340	18267371	0.0	0.0
ANK3	ANK3	10	-	60026298	60733526	7.977279	0.676033
PDZD3	PDZD3	11	+	119185457	119190223	0.0	0.0
MIR2113	MIR2113	6	+	98024531	98024619	0.0	0.0
SQSTM1	SQSTM1	5	+	179806388	179838077	492.185730	317.116638
GCAT	GCAT	22	+	37807905	37817176	20.495783	0.0
STPG2	STPG2	4	-	97558874	98143476	0.0	0.0
METTL21A	METTL21A	2	-	207580631	207626053	50.113026	57.331303
HENMT1	HENMT1	1	-	108648288	108661526	0.0	0.0
ASCL3	ASCL3	11	-	8937572	8943033	0.000000	0.0
LOC729609	LOC729609	X	-	19986817	19989779	0.0	0.0
SLC9A5	SLC9A5	16	+	67248872	67272204	1.592149	0.0
ATXN7L3B	ATXN7L3B	12	+	74537771	74541452	29.121286	1.886829
CRYGB	CRYGB	2	-	208142573	208146158	0.0	0.0
CHRM4	CHRM4	11	-	46383791	46391668	0.000000	0.000000
CTSO	CTSO	4	-	155924118	155953896	0.0	0.0
LOC105371814	LOC105371814	17	-	48874860	48908983	28.695517	0.757477
SCARNA4	SCARNA4	1	-	155925958	155926086	0.000000	0.000000
TAC4	TAC4	17	-	49838309	49848017	0.000000	0.0
ST14	ST14	11	+	130159782	130210362	0.0	0.0
XAGE2	XAGE2	X	+	52369010	52375683	0.0	0.0
BTNL8	BTNL8	5	+	180899077	180950906	0.0	0.0
CALCOCO1	CALCOCO1	12	-	53711118	53727523	32.645443	0.0
ACSM1	ACSM1	16	-	20623237	20697788	0.0	0.0
ICK	ICK	6	-	53001300	53061802	5.953955	0.0
SLC6A4	SLC6A4	17	-	30194319	30235968	0.0	0.0
TERC	TERC	3	-	169764610	169765060	0.0	0.0
ZG16B	ZG16B	16	+	2830172	2832284	0.0	0.0
BSDC1	BSDC1	1	-	32364633	32394461	105.445236	6.828197
LOC105375304	LOC105375304	7	-	26372019	26399418	1.133412	0.000000
SENP3-EIF4A1	SENP3-EIF4A1	17	+	7561992	7579006	0.000000	0.228239
GNA14	GNA14	9	-	77423079	77648316	0.0	0.0
FBXO34	FBXO34	14	+	55271303	55353611	33.968227	2.867512
CTSK	CTSK	1	-	150796208	150808260	0.0	0.0
DNAAF4	DNAAF4	15	-	55417756	55508234	0.000000	0.0
SFT2D2	SFT2D2	1	+	168226017	168242850	12.587131	60.164837
SSH1	SSH1	12	-	108778191	108857583	0.0	0.0
MIR676	MIR676	X	+	70022857	70022923	0.0	0.0
IL10RB-DT	IL10RB-DT	21	-	33265632	33266260	0.0	0.0
MIR6839	MIR6839	7	+	64679064	64679176	0.000000	0.000000
FAM91A1	FAM91A1	8	+	123768439	123815450	30.853563	68.417847
CATSPER2	CATSPER2	15	-	43630562	43648884	0.000000	0.000000
AP2A2	AP2A2	11	+	925809	1012245	1.564610	0.0
GIMAP7	GIMAP7	7	+	150514872	150521073	0.0	0.0
MIR6070	MIR6070	21	-	43609887	43609989	0.000000	0.000000
COL5A1	COL5A1	9	+	134641805	134844842	0.0	0.0
CTRC	CTRC	1	+	15438442	15446658	0.0	0.0
OR7G2	OR7G2	19	-	9102269	9103306	0.0	0.0
KCNC3	KCNC3	19	-	50311942	50333515	0.302868	0.0
SPACA5	SPACA5	X	+	48127221	48132613	6.113909	0
PLEKHH2	PLEKHH2	2	+	43637300	43767987	7.290254	0.0
SZRD1	SZRD1	1	+	16367030	16398148	10.902228	0.0
KC6	KC6	18	-	41480271	41520677	0.0	0.0
RAB5A	RAB5A	3	+	19947080	19985175	457.736572	352.744690
RPL27A	RPL27A	11	+	8682792	8689872	62.442646	55.218006
KDELC2	KDELC2	11	-	108472106	108498432	0.0	0.0
UGT2A3	UGT2A3	4	-	68928459	68951791	0.0	0.0
PCDH18	PCDH18	4	-	137518920	137532498	0.0	0.0
MIR4688	MIR4688	11	+	46376402	46376484	0.000000	0.000000
ZNF107	ZNF107	7	+	64666083	64711582	27.733299	67.040962
SLC25A17	SLC25A17	22	-	40769630	40819399	118.660629	87.718323
LOC101927139	LOC101927139	1	-	66042500	66050718	0.000000	0.0
ZNF609	ZNF609	15	+	64499420	64686067	0.000000	0.000000
LDLRAD4-AS1	LDLRAD4-AS1	18	-	13419499	13427534	0.000000	0.0
FZD8	FZD8	10	-	35638249	35641434	1.314876	0.0
SPATS2	SPATS2	12	+	49366905	49527426	4.139479	7.740164
MIR4764	MIR4764	22	-	33436582	33436669	0.0	0.0
MIRLET7C	MIRLET7C	21	+	16539828	16539911	0.000000	0.0
OR4F29	OR4F29	1	-	450740	451678	0.000000	0
SLC6A7	SLC6A7	5	+	150190062	150211063	0.0	0.0
CDC42EP4	CDC42EP4	17	-	73283624	73312004	0.0	0.0
OSR2	OSR2	8	+	98944403	98952104	0.0	0.0
LOC100310756	LOC100310756	8	-	143556819	143558271	0.000000	0.269448
STAG3L4	STAG3L4	7	+	67302638	67321526	19.159250	0.0
RAPGEF4	RAPGEF4	2	+	172735797	173052892	16.122402	0.0
